Mac Adress;Date_Nom;label_Balise;lat;long;Name;Description
00:08:ca:38:4b:c7;23/10/2015 15:33;ZARA;48.84843063;2.282493115;zone15;zara
00:08:ca:38:4b:c7;23/10/2015 15:44;HOLLISTER;48.84820938;2.282356024;zone13;hollister - nike
00:08:ca:38:4b:c7;23/10/2015 15:50;JACADI;48.84767151;2.283523797;zone4;jacadi
00:08:ca:38:4b:c7;23/10/2015 15:56;ADIDAS ORIGINALS;48.84810638;2.282475472;zone12;adidas
00:08:ca:38:4b:c7;23/10/2015 16:01;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:09:0F:BC:EB:C4;23/10/2015 10:25;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:09:88:a3:16:0f;23/10/2015 18:46;AMERICAN VINTAGE;48.84798813;2.282802343;zone19;levi's - berenice
00:09:88:ae:67:cc;23/10/2015 11:40;LOLLIPOPS;48.84766769;2.283406973;zone5;Lollipops
00:09:88:ae:67:cc;23/10/2015 11:53;THE KOOPLES SPORT;48.84792328;2.282670736;zone10;the koopple sport
00:0c:e7:00:a1:85;23/10/2015 17:42;AMERICAN VINTAGE;48.84798813;2.282802343;zone19;levi's - berenice
00:0c:e7:00:a1:85;23/10/2015 17:46;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:0c:e7:d4:ba:e8;23/10/2015 10:33;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:0c:e7:d4:ba:e8;23/10/2015 10:43;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:16:d4:a7:93:16;23/10/2015 13:33;GUERIN JOAILLERIE;48.84787369;2.282819271;zone9;devialet -guerin
00:16:d4:ad:1e:7e;23/10/2015 13:36;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:16:d4:bf:22:31;23/10/2015 10:25;LOUIS PION;48.84797669;2.282607317;zone11;louis pion - lacoste
00:16:d4:bf:22:31;23/10/2015 11:07;LOUIS PION;48.84797669;2.282607317;zone11;louis pion - lacoste
00:16:d4:cd:97:80;23/10/2015 19:52;TOMMY HILFIGER;48.84824371;2.282747984;zone17;tommy hilfiger
00:16:d4:cd:97:80;23/10/2015 19:55;L'OCCITANE EN PROVENCE;48.84768295;2.283117533;zone7;celine & jeanne
00:16:d4:cd:97:80;23/10/2015 19:59;ADIDAS ORIGINALS;48.84810638;2.282475472;zone12;adidas
00:16:d4:cd:bf:f7;23/10/2015 18:41;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:18:60:70:f3:47;23/10/2015 12:23;LITTLE EXTRA;48.84768295;2.283299446;zone6;little extra - l'occitane
00:18:60:70:f3:47;23/10/2015 12:49;NIKE;48.84777451;2.283026457;zone8;BNAIL - BERENICE
00:18:60:71:d7:f4;23/10/2015 14:25;CELIO;48.84811401;2.282833576;zone18;celio
00:18:60:71:d7:f4;23/10/2015 14:30;ERIC KAYSER;48.8476181;2.283736229;zone 2;Restauration - Détente
